address,name,company_id,rssi
54:6d:1d:db:9b:f0,,76,-43
45:d5:cd:15:c6:78,,76,-44
d3:bc:fc:fe:62:cc,,76,-57
58:5f:a1:e8:89:9a,,76,-60
56:0e:c9:e8:82:9c,,76,-63
79:85:c6:f3:a7:74,,76,-64
4d:22:8e:15:58:d1,,76,-65
d2:9f:ba:8b:e8:0b,Device-1,65535,-68
dc:21:eb:8f:62:95,,76,-69
c0:fb:dc:a9:76:3f,,76,-75
70:f7:88:b4:18:a1,,76,-83
c1:3f:11:d8:11:63,,76,-85
28:4f:77:63:93:fa,,6,-87
44:5c:e9:ba:db:95,,117,-87
c8:79:c0:08:43:ab,Device-2,-1,-87
c3:24:13:0e:13:25,,76,-87
69:fa:41:94:88:80,,76,-88
07:34:14:a8:d6:a1,,76,-89
31:f3:dd:d4:df:aa,,6,-89
4d:be:2d:ec:45:41,,76,-89
79:60:6a:ab:be:76,,-1,-89
5f:cc:4a:1f:c0:58,,76,-90
41:a7:31:75:41:9b,,76,-92
53:a6:c4:f5:da:bf,,117,-92
f8:dd:99:49:4a:88,,76,-93
bf:54:5f:da:29:3b,Device-3,-1,-97
cd:8c:35:3e:6e:c7,Device-4,-1,-98
72:5f:6d:4a:c4:1e,,76,-102
