sweep,ssid,hidden,channel,encrypted,rssi
1,AP-01,False,6,True,-21
1,AP-02,False,10,True,-57
1,AP-04,False,5,True,-59
1,,True,6,True,-59
1,AP-03,False,6,True,-63
1,AP-05,False,9,True,-72
1,AP-06,False,1,True,-74
1,AP-10,False,5,True,-79
1,AP-07,False,11,True,-79
1,AP-09,False,6,True,-80
1,AP-12,False,6,True,-81
1,AP-11,False,6,True,-81
1,AP-08,False,10,True,-81
1,AP-14,False,10,True,-84
1,AP-16,False,2,True,-85
1,,True,2,True,-86
1,,True,1,True,-88
1,AP-23,False,1,True,-89
1,AP-24,False,6,True,-89
1,AP-25,False,6,True,-90
1,AP-22,False,11,True,-90
1,,True,1,True,-91
1,AP-26,False,1,True,-91
1,AP-21,False,4,True,-91
1,AP-31,False,1,True,-93
1,AP-32,False,1,True,-93
1,AP-33,False,11,True,-93
1,AP-34,False,3,True,-94
2,AP-01,False,6,True,-23
2,AP-03,False,6,True,-56
2,AP-02,False,10,True,-56
2,AP-04,False,5,True,-58
2,,True,6,True,-59
2,AP-06,False,1,True,-73
2,AP-05,False,9,True,-73
2,AP-09,False,6,True,-79
2,AP-10,False,5,True,-81
2,AP-11,False,6,True,-82
2,AP-08,False,10,True,-83
2,AP-16,False,2,True,-84
2,AP-17,False,6,True,-84
2,,True,2,True,-85
2,AP-19,False,6,True,-85
2,AP-14,False,10,True,-85
2,AP-20,False,2,True,-86
2,AP-21,False,4,True,-87
2,AP-13,False,10,True,-87
2,AP-22,False,11,True,-88
2,AP-15,False,11,True,-89
2,AP-24,False,6,True,-90
2,AP-28,False,6,True,-90
2,AP-30,False,1,True,-92
2,,True,1,True,-92
2,,True,11,True,-92
2,AP-26,False,1,True,-93
2,,True,1,True,-93
2,,True,2,True,-94
2,AP-34,False,3,True,-96
3,AP-01,False,6,True,-21
3,AP-03,False,6,True,-56
3,,True,6,True,-58
3,AP-02,False,10,True,-58
3,AP-04,False,5,True,-60
3,AP-06,False,1,True,-73
3,AP-05,False,9,True,-73
3,AP-07,False,11,True,-75
3,AP-09,False,6,True,-78
3,AP-11,False,6,True,-80
3,AP-08,False,10,True,-80
3,AP-10,False,5,True,-81
3,AP-13,False,10,True,-82
3,AP-14,False,10,True,-83
3,AP-18,False,8,True,-84
3,,True,2,True,-85
3,AP-12,False,6,True,-85
3,AP-16,False,2,True,-87
3,AP-20,False,2,True,-87
3,AP-21,False,4,True,-88
3,,True,1,True,-90
3,AP-29,False,5,True,-90
3,AP-22,False,11,True,-90
3,,True,1,True,-92
3,AP-26,False,1,True,-92
3,,True,11,True,-92
4,AP-01,False,6,True,-24
4,AP-02,False,10,True,-58
4,,True,6,True,-59
4,AP-04,False,5,True,-62
4,AP-03,False,6,True,-62
4,AP-06,False,1,True,-73
4,AP-05,False,9,True,-73
4,AP-07,False,11,True,-79
4,AP-08,False,10,True,-80
4,AP-10,False,5,True,-83
4,AP-11,False,6,True,-83
4,AP-15,False,11,True,-83
4,AP-13,False,10,True,-84
4,AP-12,False,6,True,-85
4,AP-14,False,10,True,-85
4,AP-16,False,2,True,-86
4,AP-09,False,6,True,-87
4,AP-17,False,6,True,-88
4,AP-28,False,6,True,-90
4,AP-26,False,1,True,-91
4,AP-24,False,6,True,-91
4,AP-30,False,1,True,-92
4,,True,11,True,-92
4,,True,1,True,-94
4,,True,1,True,-94
4,AP-34,False,3,True,-95
4,,True,1,True,-96
5,AP-01,False,6,True,-21
5,AP-03,False,6,True,-57
5,AP-02,False,10,True,-58
5,,True,6,True,-60
5,AP-04,False,5,True,-61
5,AP-05,False,9,True,-73
5,AP-06,False,1,True,-74
5,AP-11,False,6,True,-79
5,AP-07,False,11,True,-79
5,AP-10,False,5,True,-80
5,AP-08,False,10,True,-80
5,AP-09,False,6,True,-82
5,AP-13,False,10,True,-82
5,AP-14,False,10,True,-84
5,AP-16,False,2,True,-85
5,AP-12,False,6,True,-85
5,AP-20,False,2,True,-86
5,,True,2,True,-86
5,AP-26,False,1,True,-89
5,AP-27,False,5,True,-89
5,AP-25,False,6,True,-89
5,AP-24,False,6,True,-89
5,AP-21,False,4,True,-90
5,AP-15,False,11,True,-90
5,AP-28,False,6,True,-91
5,AP-30,False,1,True,-92
5,,True,1,True,-92
5,,True,11,True,-92
5,AP-32,False,1,True,-94
5,,True,1,True,-94
6,AP-01,False,6,True,-21
6,AP-02,False,10,True,-57
6,AP-03,False,6,True,-59
6,,True,6,True,-59
6,AP-04,False,5,True,-61
6,AP-05,False,9,True,-74
6,AP-06,False,1,True,-75
6,AP-08,False,10,True,-77
6,AP-10,False,5,True,-80
6,AP-11,False,6,True,-81
6,AP-09,False,6,True,-81
6,AP-07,False,11,True,-81
6,AP-13,False,10,True,-83
6,AP-14,False,10,True,-84
6,AP-15,False,11,True,-84
6,AP-16,False,2,True,-85
6,,True,2,True,-86
6,AP-20,False,2,True,-88
6,AP-21,False,4,True,-89
6,AP-26,False,1,True,-90
6,,True,11,True,-93
6,,True,1,True,-95
6,AP-35,False,2,True,-96
